MAPA DE MARCAS RESTAURADO - 216 variantes
Conecta cada variante de una tarjeta de marca con su producto en el Super Mami.
Sin esto, esas filas nunca reciben actualizacion de costo.

CLAVE                        MARCA                    VAR  ID EN EL MAMI
--------------------------------------------------------------------------------
absolut__1                   Absolut                  1    3071185
amstel__1                    Amstel                   1    3100784
amstel__2                    Amstel                   2    3100911
andes__1                     Andes                    1    3100633
andes__2                     Andes                    2    3100935
andes__3                     Andes                    3    3100628
aperol__1                    Aperol                   1    3070683
aquarius-g__1                Aquarius                 1    3040217
aquarius-g__10               Aquarius                 10   3040218
aquarius-g__11               Aquarius                 11   3040221
aquarius-g__12               Aquarius                 12   3040564
aquarius-g__13               Aquarius                 13   3040219
aquarius-g__14               Aquarius                 14   3040222
aquarius-g__15               Aquarius                 15   3040563
aquarius-g__17               Aquarius                 17   3051581
aquarius-g__2                Aquarius                 2    3040220
aquarius-g__3                Aquarius                 3    3040664
aquarius-g__4                Aquarius                 4    3040253
aquarius-g__5                Aquarius                 5    3040251
aquarius-g__6                Aquarius                 6    3040565
aquarius-g__7                Aquarius                 7    3040254
aquarius-g__8                Aquarius                 8    3040252
aquarius-g__9                Aquarius                 9    3040880
arcor__1                     Arcor                    1    3051816
arcor__2                     Arcor                    2    3051817
arcor__3                     Arcor                    3    3051815
arcor__4                     Arcor                    4    3052073
arcor__5                     Arcor                    5    3052074
arcor__6                     Arcor                    6    3052075
bc__1                        BC                       1    3051552
bc__2                        BC                       2    3051553
bc__3                        BC                       3    3051549
bc__4                        BC                       4    3051534
bc__5                        BC                       5    3051533
blenders__1                  Blenders                 1    3071119
blenders__2                  Blenders                 2    3070999
blenders__3                  Blenders                 3    3071234
brahma__1                    Brahma                   1    3100025
brahma__2                    Brahma                   2    3100711
brahma__3                    Brahma                   3    3100967
brio__1                      Brio                     1    3040877
brio__2                      Brio                     2    3040794
brio__3                      Brio                     3    3040795
brio__4                      Brio                     4    3040793
budweiser__1                 Budweiser                1    3100560
budweiser__2                 Budweiser                2    3100981
campari__1                   Campari                  1    3070933
campari__2                   Campari                  2    3070081
cellier__1                   Cellier                  1    3040884
cellier__2                   Cellier                  2    3040850
cellier__3                   Cellier                  3    3040852
cellier__4                   Cellier                  4    3040887
cellier__5                   Cellier                  5    3040851
chivas__2                    Chivas Regal             2    3071120
cinzano__1                   Cinzano                  1    3071096
citric__1                    Citric                   1    3261652
citric__10                   Citric                   10   3263667
citric__11                   Citric                   11   3263664
citric__12                   Citric                   12   3263665
citric__13                   Citric                   13   3260893
citric__2                    Citric                   2    3260887
citric__3                    Citric                   3    3263669
citric__4                    Citric                   4    3263551
citric__5                    Citric                   5    3263552
citric__6                    Citric                   6    3263668
citric__7                    Citric                   7    3263675
citric__8                    Citric                   8    3263666
coca-cola__2                 Coca-Cola                2    3080006
coca-cola__3                 Coca-Cola                3    3080013
coca-cola__5                 Coca-Cola                5    3080015
coca-cola__6                 Coca-Cola                6    3080077
coca-cola__9                 Coca-Cola                9    3080167
coca-zero__2                 Coca Zero                2    3080136
coca-zero__3                 Coca Zero                3    3080212
coca-zero__4                 Coca Zero                4    3080137
coca-zero__5                 Coca Zero                5    3080138
cordoba__1                   Córdoba                  1    3100436
cordoba__2                   Córdoba                  2    3100656
corona__2                    Corona                   2    3100950
crush__1                     Crush                    1    3080208
crush__2                     Crush                    2    3080427
crush__3                     Crush                    3    3080209
cunnington__1                Cunnington               1    3080586
cunnington__10               Cunnington               10   3080552
cunnington__2                Cunnington               2    3080587
cunnington__3                Cunnington               3    3080588
cunnington__5                Cunnington               5    3080590
cunnington__6                Cunnington               6    3080591
